Month,Year,Median
January,2019,41
February,2019,36
March,2019,39
April,2019,43.5
May,2019,41
June,2019,44.5
July,2019,43
August,2019,37
September,2019,30.5
October,2019,52
November,2019,54.5
December,2019,37
January,2020,40
February,2020,50.5
March,2020,37
April,2020,34.5
May,2020,36
June,2020,32
July,2020,49
November,2020,37
December,2020,47
January,2021,52
February,2021,36
March,2021,41
April,2021,50
May,2021,42
November,2021,50
December,2021,35
January,2022,52
February,2022,44.5
March,2022,35
April,2022,41
May,2022,42
June,2022,30.5
July,2022,21
August,2022,20
September,2022,36
October,2022,32
November,2022,33
December,2022,35.5
January,2023,33
February,2023,38.5
March,2023,32
April,2023,33
May,2023,30
June,2023,28
July,2023,34
August,2023,23
September,2023,26
October,2023,29
November,2023,29
December,2023,26
January,2024,28
February,2024,30